viewCode	metricCode	name	description
customer_creation_date	activation_delay	Délai moyen première commande	Nombre de jours moyen entre la création du compte client et une première commande, calculé avec le nombre de clients créés
customer_creation_date	activation_rate	Taux d'achat	Taux d'achat (= Nb Clients Actifs / Nb Comptes Créés)
customer_creation_date	activation_rate_180d	Taux d'achat à 180j	Pourcentage de clients ayant effectué une commande dans les 180 jours suivant la création de leur compte, calculé avec  le nombre de clients créés
customer_creation_date	activation_rate_30d	Taux d'achat à 30j	Pourcentage de clients ayant effectué une commande dans les 30 jours suivant la création de leur compte, calculé avec  le nombre de clients créés
customer_creation_date	activation_rate_365d	Taux d'achat à 365j	Pourcentage de clients ayant effectué une commande dans les 365 jours suivant la création de leur compte, calculé avec  le nombre de clients créés
customer_creation_date	activation_rate_7d	Taux d'achat à 7j	Pourcentage de clients ayant effectué une commande dans les 7 jours suivant la création de leur compte, calculé avec  le nombre de clients créés
customer_creation_date	age_avg	Age Moyen	Age moyen des clients pour lesquels l'information est disponible
customer_creation_date	avg_activity_period	Durée moyenne d'activité	Durée moyenne d'activité, calculée avec le nombre de clients actifs.
customer_creation_date	billing_n_orders	Nb Commandes	Nombre de commandes total effectuées par les clients
customer_creation_date	billing_n_orders_per_n_active	Nb Commandes Moyen	Nb Commandes / Nb Clients Actifs
customer_creation_date	billing_n_orders_per_n_active_180d	Nb Commandes Moyen à 180j	Nombre de commandes effectuées par client actif dans les 180 derniers jours
customer_creation_date	billing_n_orders_per_n_active_30d	Nb Commandes Moyen à 30j	Nombre de commandes effectuées par client actif dans les 30 derniers jours
customer_creation_date	billing_n_orders_per_n_active_365d	Nb Commandes Moyen à 365j	Nombre de commandes effectuées par client actif dans les 365 derniers jours
customer_creation_date	billing_n_orders_per_n_active_7d	Nb Commandes Moyen à 7j	Nombre de commandes effectuées par client actif dans les 7 derniers jours
customer_creation_date	billing_n_product	Nb Produits Facturés	Nombre de produits commandés par le client tout au long de sa vie de client
customer_creation_date	ltv_ht	LTV (CA HT Moyen)	Life Time Value moyen, calculé avec le CA HT généré et le nombre de clients actifs
